      No     Day     Mon    Year  Qobs_0000000001  Qsim_0000000001  Qobs_0000000002  Qsim_0000000002  Qobs_0000000003  Qsim_0000000003
     203      22       7    1997        4.0600000        3.2668291        2.4800000        1.6141152        1.2900000        0.6292421
     204      23       7    1997        2.6700000        2.6140912        2.0600000        1.6792002        0.7400000        0.5835419
     205      24       7    1997        2.4900000        2.2349731        1.5000000        1.2905669        0.6200000        0.5594590
     206      25       7    1997        1.8000000        1.8413738        1.2600000        1.2462049        0.6200000        0.6244665
     207      26       7    1997        1.7300000        1.6319029        1.2600000        1.2402145        0.6700000        0.6206534
     208      27       7    1997        1.5900000        1.5002856        1.1100000        1.2062067        0.5600000        0.5661788
     209      28       7    1997        1.2500000        1.4338371        0.9000000        1.1345222        0.4600000        0.5317686
     210      29       7    1997        1.1000000        1.3848827        0.8300000        1.1145368        0.4600000        0.5213575
     211      30       7    1997        1.1000000        1.3362960        0.9000000        1.0992056        0.4600000        0.5130280
     212      31       7    1997        1.0200000        1.3010203        0.7000000        1.0943874        0.4600000        0.5094702
     213       1       8    1997        1.0200000        1.2762640        0.7000000        1.0606196        0.4200000        0.5271365
     214       2       8    1997        0.8900000        1.2498829        0.7000000        1.0224161        0.4600000        0.5151092
     215       3       8    1997        0.8300000        1.2166992        0.6400000        0.9976563        0.4200000        0.4854895
     216       4       8    1997        0.8900000        1.1770081        0.5900000        0.9516757        0.4200000        0.4573521
     217       5       8    1997        0.7700000        1.1335154        0.5300000        0.8920871        0.3800000        0.4297165
     218       6       8    1997        0.5100000        1.0825133        0.4800000        0.8341781        0.3000000        0.4054166
     219       7       8    1997        0.5100000        1.0232756        0.4300000        0.7820217        0.2700000        0.3839675
     220       8       8    1997        0.5100000        0.9622828        0.4300000        0.7357605        0.2400000        0.3649659
     221       9       8    1997        0.6100000        0.9053770        0.3500000        0.6949120        0.2400000        0.3480740
     222      10       8    1997        0.5100000        0.8544007        0.3100000        0.6587055        0.2400000        0.3330076
     223      11       8    1997        0.5100000        0.8091750        0.2700000        0.6264975        0.2400000        0.3195266
     224      12       8    1997        0.5100000        0.7690449        0.2700000        0.5977471        0.2400000        0.3074273
     225      13       8    1997        0.5100000        0.7333287        0.2700000        0.5719981        0.2100000        0.2965358
     226      14       8    1997        0.5100000        0.7014340        0.2700000        0.5488844        0.2100000        0.2867036
     227      15       8    1997        0.5100000        0.7156254        0.2300000        0.5353081        0.1900000        0.2778166
     228      16       8    1997        0.5100000        0.7409406        0.3100000        0.5117312        0.3000000        0.2697428
     229      17       8    1997        0.5100000        0.6906578        0.3500000        0.4944164        0.3000000        0.2623883
     230      18       8    1997        0.5100000        0.6222555        0.3500000        0.4919388        0.3000000        0.3076522
     231      19       8    1997        0.5100000        0.5947438        0.3100000        0.5014645        0.3000000        0.2911694
     232      20       8    1997        0.5100000        0.5884824        0.3500000        0.5020026        0.2700000        0.2701623
     233      21       8    1997        0.2800000        0.5876858        0.2700000        0.4844056        0.2400000        0.2624275
     234      22       8    1997        0.2800000        0.5830511        0.2700000        0.4639517        0.2100000        0.2553902
     235      23       8    1997        0.2800000        0.5733339        0.2700000        0.4991684        0.1900000        0.2593672
     236      24       8    1997        0.3400000        0.5682771        0.4300000        0.4916633        0.1900000        0.2658268
     237      25       8    1997        0.2800000        0.5709588        0.3500000        0.4725229        0.2100000        0.2592202
     238      26       8    1997        0.6100000        2.7252401        0.2700000        0.8907119        0.2400000        0.2508248
     239      27       8    1997        1.1000000        3.4472229        0.2700000        0.4513224        0.2400000        0.2459620
     240      28       8    1997        0.6100000        2.0787846        0.2700000        0.7875122        0.2400000        0.4087802
     241      29       8    1997        0.7100000        1.3395130        0.5300000        0.6071441        0.3400000        0.3312384
     242      30       8    1997        0.6600000        0.9459726        0.4300000        0.5923983        0.3000000        0.2651927
     243      31       8    1997        0.6600000        0.7628034        0.3100000        0.5135517        0.2700000        0.2572702
     244       1       9    1997        0.6100000        0.6818622        0.2700000        0.4666284        0.2400000        0.2500899
     245       2       9    1997        0.6100000        0.6212593        0.2300000        0.4450347        0.2400000        0.2435634
     246       3       9    1997        0.3400000        0.5740463        0.2300000        0.4321675        0.2400000        0.2376883
     247       4       9    1997        0.2800000        0.5427384        0.2300000        0.4204493        0.2400000        0.2323151
     248       5       9    1997        0.2800000        0.5260624        0.2300000        0.4155291        0.2400000        0.2347593
     249       6       9    1997        0.2800000        0.5145964        0.2700000        0.4115042        0.2700000        0.2326581
     250       7       9    1997        0.2800000        0.5060985        0.3100000        0.4059922        0.2700000        0.2275281
     251       8       9    1997        0.2800000        0.4990742        0.3100000        0.3981245        0.2700000        0.2228117
     252       9       9    1997        0.2800000        0.4918346        0.2300000        0.3895923        0.2400000        0.2184893
     253      10       9    1997        0.2800000        0.4832161        0.2300000        0.3811569        0.2400000        0.2144907
     254      11       9    1997        0.2800000        0.4737399        0.2300000        0.3733380        0.2400000        0.2107839
     255      12       9    1997        0.3400000        0.4656995        0.2300000        0.3681977        0.2400000        0.2115215
     256      13       9    1997        0.3400000        0.4580091        0.2300000        0.3642448        0.2400000        0.2103966
     257      14       9    1997        0.2800000        0.4513296        0.2300000        0.3604394        0.2400000        0.2070255
     258      15       9    1997        0.2200000        0.4456552        0.2300000        0.3554892        0.2100000        0.2037446
     259      16       9    1997        0.2200000        0.4401999        0.2000000        0.3496962        0.2400000        0.2006926
     260      17       9    1997        0.1800000        0.4343017        0.2000000        0.3439298        0.2100000        0.1978469
     261      18       9    1997        0.1800000        0.4279066        0.2000000        0.3385198        0.1900000        0.1951872
     262      19       9    1997        0.1800000        0.4214059        0.2000000        0.3334518        0.1700000        0.1926956
     263      20       9    1997        0.1800000        0.4151534        0.1700000        0.3286938        0.1900000        0.1903562
     264      21       9    1997        0.1800000        0.4092696        0.1700000        0.3242174        0.1900000        0.1881548
     265      22       9    1997        0.2200000        0.4037466        0.1700000        0.3199973        0.1700000        0.1860787
     266      23       9    1997        0.2800000        0.3985527        0.2000000        0.3160108        0.1900000        0.1841165
     267      24       9    1997        0.2800000        0.3936580        0.2000000        0.3122374        0.1400000        0.1822582
     268      25       9    1997        0.2800000        0.3890359        0.2000000        0.3086591        0.1400000        0.1804945
     269      26       9    1997        0.2800000        0.3846628        0.2300000        0.3052593        0.1700000        0.1788174
     270      27       9    1997        0.2800000        0.3805171        0.2000000        0.3020234        0.1900000        0.1772194
     271      28       9    1997        0.2800000        0.3765889        0.2000000        0.2989565        0.1900000        0.1756938
     272      29       9    1997        0.2200000        0.3732051        0.2000000        0.2969077        0.1900000        0.1753321
     273      30       9    1997        0.2200000        0.3700619        0.2000000        0.2949403        0.1900000        0.1744279
     274       1      10    1997        0.2200000        0.3673707        0.1700000        0.2930002        0.1900000        0.1731006
     275       2      10    1997        0.2200000        0.3650045        0.2000000        0.2907963        0.2100000        0.1720063
     276       3      10    1997        0.2200000        0.3626062        0.2300000        0.2884397        0.2400000        0.1708183
     277       4      10    1997        0.2200000        0.3600323        0.2300000        0.2860622        0.2400000        0.1694937
     278       5      10    1997        0.2200000        0.3573173        0.2300000        0.2836605        0.2400000        0.1682150
     279       6      10    1997        0.2200000        0.3545406        0.2300000        0.2812608        0.2100000        0.1669852
